record_id,source_path,source_line,url,original_title,suggested_title,original_description,suggested_description,original_category,suggested_category,classification_confidence,adjustment_reason,actions,needs_manual_confirmation,link_result,status_code,final_url,actual_page_title,actual_page_h1,actual_page_description,title_similarity,duplicate_role,duplicate_of,parse_status
5a0ac2f3b82ecb5a,docs/AI/AI应用/具身智能.md,15,https://github.com/TianxingChen/Embodied-AI-Guide,具身智能入门指南,具身智能技术指南 Embodied-AI-Guide,,面向具身智能初学者的中文知识库与资料索引，涵盖操作实践、算法、软件基础设施、控制和硬件等主题。,人工智能 / 具身智能 / 具身智能,人工智能与机器人 / 具身智能与机器人,high,分类规则：source:/AI/AI应用/具身智能.md；GitHub 项目标题、README 与内容范围已核验。；原标题与可访问页面标题相似度较低；完全相同 URL：canonical,"reclassify,update_title,update_description,review_duplicate,manual_confirmation",True,accessible,200,https://github.com/TianxingChen/Embodied-AI-Guide,GitHub - TianxingChen/Embodied-AI-Guide: [Lumina具身智能社区] 具身智能技术指南 Embodied-AI-Guide · GitHub,"Search code, repositories, users, issues, pull requests...",[Lumina具身智能社区] 具身智能技术指南 Embodied-AI-Guide. Contribute to TianxingChen/Embodied-AI-Guide development by creating an account on GitHub.,0.146,canonical,,valid
d6a1d4d4fd7dc5f8,docs/AI/AI理论基础.md,75,https://arxiv.org/abs/2405.16444,Machine Learninng,CacheBlend：面向 RAG 的缓存知识融合与大模型推理加速,,论文提出 CacheBlend，通过复用知识缓存加速检索增强生成场景中的大语言模型推理。,人工智能 / RL / ML,人工智能与机器人 / 机器学习基础,high,分类规则：heading:ML；原标题拼写错误且与 arXiv 2405.16444 实际论文主题不一致；标题与摘要页已核验。；原标题与可访问页面标题相似度较低,"reclassify,update_title,update_description,manual_confirmation",True,accessible,200,https://arxiv.org/abs/2405.16444,[2405.16444] CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion,Computer Science > Machine Learning,Abstract page for arXiv paper 2405.16444: CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion,0.189,,,valid
6a5d1b5c8346d10a,docs/AI/算法与实现.md,13,https://krisonzhang.cn/2025/04/06/Vanilla%20RNN/,LSTM,Vanilla RNN,,,人工智能 / 算法 / 算法,人工智能与机器人 / 深度学习,medium,分类规则：keyword:深度学习|神经网络|RNN|LSTM|CNN|CS231|openvino|PyTorch；原标题“LSTM”与页面实际标题“Vanilla RNN”不一致，并与同文件第 12 行重复。；原标题与可访问页面标题相似度较低；完全相同 URL：duplicate,"reclassify,update_title,review_duplicate,manual_confirmation",True,accessible,200,https://krisonzhang.cn/2025/04/06/Vanilla%20RNN/,Vanilla RNN | Krison's Blog,,,0.16,duplicate,docs/AI/算法与实现.md:12,valid
5a64bf21784d9d54,docs/AI/算法与实现.md,15,https://frederick2313072.github.io/blog/2025-05-27-nlp%E6%80%BB%E7%BB%93/,强化学习,NLP 总结,,,人工智能 / 算法 / 算法,人工智能与机器人 / 强化学习,medium,分类规则：keyword:强化学习|Reinforcement|RL|DMC|DouZero；原标题“强化学习”与页面实际标题“NLP总结”不一致，并与同文件第 10 行重复。；原标题与可访问页面标题相似度较低；完全相同 URL：duplicate,"reclassify,update_title,review_duplicate,manual_confirmation",True,accessible,200,https://frederick2313072.github.io/blog/2025-05-27-nlp%E6%80%BB%E7%BB%93/,NLP总结,Frederick,,0.0,duplicate,docs/AI/算法与实现.md:10,valid
d331c38513bacf22,docs/CS/数学基础/数学杂项.md,13,https://blog.alu.mk/grudoku/,群数独,群数独 | AlumKal's Blog,AlumKal's Blog,,计算机科学 / 数学杂项 / 数学杂项,计算机科学基础 / 数学与理论,high,分类规则：source:/CS/数学基础/；链接后的作者文本属于页面标题而非简介；实际页面标题已核验。；完全相同 URL：duplicate,"reclassify,update_title,update_description,review_duplicate,manual_confirmation",True,accessible,200,https://blog.alu.mk/grudoku/,群数独 | AlumKal's Blog,群数独,,0.333,duplicate,,valid
8324e1f04d5e8dc8,docs/学习成长/学习资源.md,16,https://huggingface.co/spaces/gxa33/ultrascale-playbook?section=high-level_overview,Training LLMs on GPU Clusters,The Ultra-Scale Playbook: Training LLMs on GPU Clusters,,,学习成长 / AI / AI,人工智能与机器人 / 大语言模型与智能体,medium,分类规则：keyword:LLM|大模型|Agent|智能体|RAG|Qwen|NLP|语言模型|Transformer|RoPE|vllm|Claude|Codex；原记录被错误换行并缺少完整 Markdown 链接结构；按链接页面名称恢复完整标题。；原标题与可访问页面标题相似度较低,"reclassify,update_title,fix_syntax,manual_confirmation",True,accessible,200,https://huggingface.co/spaces/gxa33/ultrascale-playbook?section=high-level_overview,The Ultra-Scale Playbook - a Hugging Face Space by gxa33,,"This application displays detailed training data for large language models (LLMs) on GPU clusters, showing performance metrics and configurations. Users can view the data through an interactive plot.",0.229,,,recovered
55baac6b869182f8,docs/学习成长/学习资源.md,98,https://github.com/codecrafters-io/build-your-own-x?tab=readme-ov-file#build-your-own-neural-network,Build your own Redis,Build your own Neural Network,,,学习成长 / AI / 技术文档,计算机科学基础 / 网络与分布式,medium,分类规则：keyword:网络|Netty|NAT|分布式|共识算法|Redis；原题名写作 Redis，但 URL 锚点实际指向 build-your-own-neural-network，按真实目标修正显示标题。；原标题与可访问页面标题相似度较低,"reclassify,update_title,manual_confirmation",True,accessible,200,https://github.com/codecrafters-io/build-your-own-x?tab=readme-ov-file#build-your-own-neural-network,GitHub - codecrafters-io/build-your-own-x: Master programming by recreating your favorite technologies from scratch. · GitHub,"Search code, repositories, users, issues, pull requests...",Master programming by recreating your favorite technologies from scratch. - codecrafters-io/build-your-own-x,0.267,,,valid
73ab3505aae50402,docs/学习成长/科研记录.md,11,https://arxiv.org/abs/2204.02558,coach guide指的是在模型训练过程中用每个对局结果作为监督信号训练一个coach网络：将每场比赛的初始牌型输入，输出获胜概率，目的是利用这个网络初步筛选出获胜概率比较均衡的局来训练模型；本论文主要是基于DMC算法来训练的。,DouZero+：基于对手建模和教练引导学习改进斗地主 AI,,论文在 DouZero 基础上加入对手建模和教练引导学习，以改进斗地主智能体训练。,学习成长 / 论文阅读 / 论文阅读,学习与研究 / 论文阅读,high,分类规则：source:/学习成长/科研记录.md；原记录缺少左方括号，且把说明性长句误作标题；arXiv 2204.02558 标题与摘要已核验。；原标题与可访问页面标题相似度较低,"reclassify,update_title,update_description,fix_syntax,manual_confirmation",True,accessible,200,https://arxiv.org/abs/2204.02558,[2204.02558] DouZero+: Improving DouDizhu AI by Opponent Modeling and Coach-guided Learning,Computer Science > Artificial Intelligence,Abstract page for arXiv paper 2204.02558: DouZero+: Improving DouDizhu AI by Opponent Modeling and Coach-guided Learning,0.12,,,recovered
e426d6edd59c2433,docs/开发/开发工具.md,51,https://forum-zh.obsidian.md/t/topic/67,obsidian笔记关系模式，手动维护而不只是依赖于双链,我的笔记组织体系分享,,介绍一种适用于 Obsidian 等双链笔记工具、以链接为核心的笔记组织方法。,开发 / 工具 / 工具 / obsidia,软件开发与工程 / 开发工具与效率,high,分类规则：heading:obsidia；页面 H1 与元描述已核验；同 URL 在第 168 行重复。；完全相同 URL：canonical,"reclassify,update_title,update_description,review_duplicate,manual_confirmation",True,accessible,200,https://forum-zh.obsidian.md/t/topic/67,我的笔记组织体系分享 - 经验分享 - Obsidian 中文论坛,我的笔记组织体系分享,本文是适用于Obsidian等双链笔记软件的笔记组织方法，受到落山鸡大佬的启发。 RFSR笔记组织体系使用说明 核心思想：仅使用链接，不使用标签。 标签和链接共存时常会导致混乱，你很难决定到底是使用标签，还是创建一个同名的页面然后链接至&amp;hellip;,0.302,canonical,,valid
4e1f6d9e1a95330b,docs/开发/开发工具.md,52,https://github.com/WncFht/.obsidian,Obsidian 的配置 开箱即用 - wnc 的咖啡馆,Obsidian 的配置：开箱即用,),,开发 / 工具 / 工具 / obsidia,软件开发与工程 / 开发工具与效率,high,分类规则：heading:obsidia；原 URL 使用中文右括号造成语法异常，并被误解析出一个右括号简介；GitHub 仓库目标已核验。,"reclassify,update_title,update_description,fix_syntax",False,accessible,200,https://github.com/WncFht/.obsidian,GitHub - WncFht/.obsidian · GitHub,"Search code, repositories, users, issues, pull requests...",Contribute to WncFht/.obsidian development by creating an account on GitHub.,0.333,,,valid
